size,dist,time,cost,alg
4,euclidean,0.0024,16418.9836,christofides
4,manhattan,0.0013,20022.0,christofides
4,euclidean,0.0029,18871.2324,christofides
4,manhattan,0.0015,21386.0,christofides
4,euclidean,0.0015,20372.9505,christofides
4,manhattan,0.0015,23800.0,christofides
4,euclidean,0.0018,19089.2586,christofides
4,manhattan,0.0018,22302.0,christofides
4,euclidean,0.0017,17292.2191,christofides
4,manhattan,0.0018,22026.0,christofides
4,euclidean,0.002,20249.6489,christofides
4,manhattan,0.0021,25796.0,christofides
4,euclidean,0.0015,20978.5404,christofides
4,manhattan,0.0017,26658.0,christofides
4,euclidean,0.0015,16684.7988,christofides
4,manhattan,0.0019,20514.0,christofides
4,euclidean,0.0022,20369.2986,christofides
4,manhattan,0.0023,26004.0,christofides
4,euclidean,0.0014,18176.4398,christofides
4,manhattan,0.0021,23300.0,christofides
4,euclidean,0.0018,15236.7608,christofides
4,manhattan,0.0017,19432.0,christofides
4,euclidean,0.0019,14099.9949,christofides
4,manhattan,0.0017,15904.0,christofides
4,euclidean,0.0015,17044.6212,christofides
4,manhattan,0.0014,20260.0,christofides
4,euclidean,0.0023,20967.2652,christofides
4,manhattan,0.0015,22648.0,christofides
4,euclidean,0.0022,21135.9303,christofides
4,manhattan,0.0018,24932.0,christofides
4,euclidean,0.0019,21918.0195,christofides
4,manhattan,0.0018,25490.0,christofides
4,euclidean,0.0016,16484.4989,christofides
4,manhattan,0.0019,23696.0,christofides
4,euclidean,0.0017,18760.7736,christofides
4,manhattan,0.0018,23268.0,christofides
4,euclidean,0.0014,17049.8204,christofides
4,manhattan,0.0013,21170.0,christofides
4,euclidean,0.0014,20344.3259,christofides
4,manhattan,0.0015,24916.0,christofides
4,euclidean,0.002,20317.7896,christofides
4,manhattan,0.0015,26876.0,christofides
4,euclidean,0.0015,18140.132,christofides
4,manhattan,0.0014,21862.0,christofides
4,euclidean,0.0017,19804.3851,christofides
4,manhattan,0.0018,26126.0,christofides
4,euclidean,0.0015,20015.2951,christofides
4,manhattan,0.0022,25344.0,christofides
4,euclidean,0.0023,20692.0557,christofides
4,manhattan,0.0023,23258.0,christofides
4,euclidean,0.0016,19596.2908,christofides
4,manhattan,0.0017,25388.0,christofides
4,euclidean,0.0017,19771.7959,christofides
4,manhattan,0.002,24060.0,christofides
4,euclidean,0.0015,16989.9992,christofides
4,manhattan,0.0015,21186.0,christofides
4,euclidean,0.0016,20214.0376,christofides
4,manhattan,0.0014,26140.0,christofides
4,euclidean,0.0015,19563.8326,christofides
4,manhattan,0.002,25014.0,christofides
4,euclidean,0.0021,19745.3623,christofides
4,manhattan,0.0023,26772.0,christofides
4,euclidean,0.0018,19605.1489,christofides
4,manhattan,0.0014,22754.0,christofides
4,euclidean,0.0015,16605.6839,christofides
4,manhattan,0.0015,22080.0,christofides
4,euclidean,0.0023,17254.8795,christofides
4,manhattan,0.0018,19282.0,christofides
4,euclidean,0.0029,19879.4936,christofides
4,manhattan,0.0017,25430.0,christofides
4,euclidean,0.0016,22537.4991,christofides
4,manhattan,0.0019,27896.0,christofides
4,euclidean,0.0013,18122.0751,christofides
4,manhattan,0.0013,22620.0,christofides
4,euclidean,0.0017,16354.5358,christofides
4,manhattan,0.0024,20420.0,christofides
4,euclidean,0.0015,19176.1385,christofides
4,manhattan,0.0014,21100.0,christofides
4,euclidean,0.0024,16231.3437,christofides
4,manhattan,0.0016,19732.0,christofides
4,euclidean,0.0022,14415.2105,christofides
4,manhattan,0.0014,18154.0,christofides
4,euclidean,0.002,22765.2767,christofides
